eur	mp	nrcamere	rap	title
60	63	3	952.380952380952	[208]Complet mobilat. Decomandat.
71.5	75	3	953.333333333333	[203]Lunei, centrala proprie, 75 mp
51.5	54	3	953.703703703704	[223]Apartament nou 2 camere + Living Cu bucatarie
62	65	3	953.846153846154	[237]3 camere,pozitie semicentrala,amenajat
106	111	3	954.954954954955	[198]Apartament 3 camere, 111 mp - Take Ionescu
86	90	4	955.555555555556	[213]Langa Stadion. Complet renovat. Centrala proprie
65	68	3	955.882352941176	[212]Cetatii,centrala,amenajat
67	70	3	957.142857142857	[218]Aradului,bloc izolat/mansardat,centrala termica proprie
33.5	35	0	957.142857142857	[198]Iosefin, apartament 1 camera
51.7	54	2	957.407407407407	[208]Dambovita, semidecomandat, etaj intermediar
45	47	2	957.446808510638	[213]Girocului,2 camere, pozitie buna
56.5	59	3	957.627118644068	[169]Apartamnet nr.4
68	71	2	957.746478873239	[208]Bloc Nou, 71 mp utili, garaj, aproape de Centru
46	48	2	958.333333333333	[203]Dambovita,centrala proprie,confort 1
72	75	3	960	[218]Soarelui, parter, amenajat
74.999	78	3	961.525641025641	[228]Vand apartament arhitectura deosebita, 3 camere
75	78	4	961.538461538462	[164]Lipovei, 4 camere, decomandat, centrala proprie
50	52	2	961.538461538462	[159]Calea Aradului , parter
105	109	3	963.302752293578	[203]Apartament 3 camere, 109 mp - Take Ionescu
53	55	2	963.636363636364	[218]Soarelui, centrala termica, amenajat
71.333	74	3	963.959459459459	[159]Adora Forest: O locaţie privilegiată, în vecinătatea Pădurii Verzi
55	57	3	964.912280701754	[188]3 camere, Steaua
59.9	62	3	966.129032258065	[223]Ocazie! 3 minute de Mall, Apartament 3 camere, 62 mp
29	30	2	966.666666666667	[241]Pretabil pentru cabinet.Centrala proprie
58	60	2	966.666666666667	[159]Bucovina,zona linistita,vedere pe 2 parti
63	65	3	969.230769230769	[193]Girocului, etaj intermediar
65	67	3	970.149253731343	[159]Dambovita, amenajat, complet mobilat si utilat
66	68	3	970.588235294118	[207]Bloc izolat,cu centrala,etaj 3 in zona Girocului-Plavat ll
33	34	0	970.588235294118	[223]Dambovita, amenajat, centrala termica
165	170	4	970.588235294118	[213]Piata Plevnei-Mihai Viteazul. 170 mp utili.
68	70	3	971.428571428571	[223]Decomandat, 2 bai!
34	35	0	971.428571428571	[193]Zona linistita. Langa Billa Sagului.
