eur	mp	nrcamere	rap	title
96.5	95	3	1015.78947368421	[237]Apartament cu 3 camere zona Ultracentral - Piata Victoriei
49.8	49	2	1016.32653061224	[228]Girocului , renovat, spatios
57.5	56.57	2	1016.43980908609	[198]Decomandat. Dormitor cu dressing. Loc de parcare.
50	49.17	2	1016.88021151108	[188]Tipografilor. Bloc cu acoperis.Posibilitate centrala.
59	58	3	1017.24137931034	[232]Apartament nr. 8
58	57	2	1017.54385964912	[208]Amenajat. Zona linistita.
115	113	3	1017.69911504425	[198]Complexul Studentesc, bloc in asociatie, renovat
56	55	2	1018.18181818182	[218]Torontalului ,decomandat , etaj intermediar , boxa
55	54	2	1018.51851851852	[223]Semicentral,decomandat,etaj intermediar
82.5	81	3	1018.51851851852	[158]Bloc constructie 2008,cu gradini si foisoare
53	52	2	1019.23076923077	[216]Centrala termica proprie. Decomandat. Vedere pe 2 parti.
52	51	2	1019.60784313725	[213]Etaj intermediar. La doi pasi de Profi.
51	50	2	1020	[223]Mobilat si utilat. Etaj intermediar
50	49	2	1020.40816326531	[169]Apartament 2 camere, Balcescu - Odobescu,
97	95	4	1021.05263157895	[174]Decomandat. Etaj intermediar.Centrala proprie
71.5	70	3	1021.42857142857	[203]Centrala proprie.Mobilat
47	46	2	1021.73913043478	[193]2 camere,zona Lipovei,model decomandat
92	90	3	1022.22222222222	[218]Apartament cu 3 camere in bloc nou,90 mp utili,finisaje de calitate.
68.5	67	3	1022.38805970149	[203]Lipovei, decomandat, centrala proprie
22.5	22	0	1022.72727272727	[208]Buziasului - ideal investitie
33	32.23	0	1023.89078498294	[223]Decomandat. Bucatarie inchisa.
125	122	4	1024.59016393443	[237]Piata Balcescu Odobescu D+P+M+E de 143mp
83	81	3	1024.69135802469	[193]Zona Garii, bloc nou, amenajat.
76.9	75	3	1025.33333333333	[218]Apartament 3 camere | renovat, mobilat si utilat lux | proprietar
80	78	4	1025.64102564103	[164]Mircea cel Batran,etaj 2, garaj,boxa
75	73	3	1027.39726027397	[174]Garaj.Mobilat si Utilat.Centrala proprie
25.7	25	0	1028	[179]GARSONIERĂ COMPLEX
54.5	53	2	1028.30188679245	[218]Aradului Est, 2 camere, etaj 3, centrala
72	70	3	1028.57142857143	[237]Decomandat. Centrala proprie. Zona buna
53.5	52	3	1028.84615384615	[208]Apartament 3 camere cu centrala Zona Dacia- Labirint
71	69	3	1028.98550724638	[237]Proprietar vand 3 cam la et.1 in bloc nou zona Aradului
69.999	68	3	1029.39705882353	[223]Bucovina,parter,decomandat
70	68	2	1029.41176470588	[179]La 1 minut de Continental si Bega!
69	67	3	1029.85074626866	[174]Dambovita, spatios, luminos, amenajat
51.5	50	3	1030	[179]Girocului -etaj 1 , mobilat , clima
67	65	3	1030.76923076923	[193]Buziasului-Soarelui, etaj intermediar, centrala termica
49.5	48	2	1031.25	[218]Calea Aradului
33	32	0	1031.25	[188]Mobilat si utilat. Etaj 2. CENTRALA PROPRIE.
66	64	2	1031.25	[237]BLOC NOU! IN ORAS! Mobilat si utilat complet!
65	63	3	1031.74603174603	[198]Simion Barnutiu,3 camere cu garaj
56.8	55	2	1032.72727272727	[228]Decomandat.Etaj intermediar.
93	90	4	1033.33333333333	[213]Dacia,etaj intermediar,90 mp utili
62	60	3	1033.33333333333	[223]Girocului-Plavat II , decomandat -2balcoane ,etaj 2
76.5	74	2	1033.78378378378	[208]Central,amenajat,centrala
59	57	2	1035.08771929825	[226]Compartimentat modern. Mobilat si utilat
58	56	2	1035.71428571429	[169]apartament de vinzare
57	55	2	1036.36363636364	[174]Piata Doina, etaj intermediar, centrala termica proprie
85	82	4	1036.58536585366	[228]Aradului Vest,amenajat,etaj 3
56	54	2	1037.03703703704	[217]Bloc izolat.Centrala proprie.Mobilat si utilat
69.5	67	3	1037.31343283582	[228]Soarelui , etaj 1 , centrala , decomandat
41.5	40	2	1037.5	[159]Renovat. Posibilitate centrala termica
55	53	2	1037.7358490566	[193]Lunei, decomandat, centrala proprie
68.5	66	3	1037.87878787879	[198]Centrala termica proprie. Etaj intermediar. Bloc izolat.
54	52	2	1038.46153846154	[174]Spatios. Aproape de Spitalul Judetean. Cu toate facilitatile pentru a te
80	77	3	1038.96103896104	[193]De vanzare apartament cu 3 camere, constructie noua, zona Aradului
53	51	2	1039.21568627451	[223]Spatios. Luminos. Zona linistita
52	50	2	1040	[198]Dambovita, parter inalt, amenajat, centrala termica proprie
75	72	3	1041.66666666667	[223]Aradului,etaj 3,mobilat/utilat
73	70	3	1042.85714285714	[237]3 CAMERE, LIPOVEI, UTILAT ŞI MOBILAT MODERN
48	46	2	1043.47826086957	[179]ETAJUL 1. SPITALUL JUDETEAN.
23	22	0	1045.45454545455	[159]vind garsoniera
69	66	3	1045.45454545455	[169]De vanzare apartament 3 camere, decomanda bloc izolat, etaj 2 - zona
92	88	3	1045.45454545455	[208]Apartament de lux, 3 camere, 90mp, mobilat, 2 terase
68	65	3	1046.15384615385	[164]Aradului,amenajat,aproape de Piata Verde
33.5	32	0	1046.875	[159]Fratelia, amenajat, centrala termica proprie
88	84	3	1047.61904761905	[164]Apartament cu 3 camere, decomandat, de vanzare in zona Bucovina
66	63	3	1047.61904761905	[223]Zona Cetatii , parter inalt
54.5	52	3	1048.07692307692	[228]Ideal Investitie! Cel mai bun pret!
65	62	2	1048.38709677419	[169]2 Camere, complex, amenajat, modern
36.7	35	0	1048.57142857143	[213]Complexul Studentesc, SU 36 mp, balcon
53.5	51	2	1049.01960784314	[198]Proprietar vand 2 cam in bloc nou Aradului decomandat
59.8	57	3	1049.12280701754	[211]Vand apartament cu 3 cam, decomandat, mobilat, Str. Verde, Zona I.I. de
85	81	3	1049.38271604938	[218]3 cam-Gara de Nord-81 mp- dec-Bloc nou-Parcare privata
42	40	2	1050	[174]Piata Doina, etaj intermediar, amenajari clasice
52.5	50	2	1050	[237]De vanzare apartament in Timisoara, 2 camere, in zona Girocului
63	60	3	1050	[164]Torontal,decomandat,amenajat lux
49.4	47.04	2	1050.17006802721	[164]Bloc nou 2016. Decomandat. Bucatarie separata inchisa
79.7	75.83	3	1051.03521033892	[159]Proiect Nou, Aradului, Decomandat, 2 bai, Finalizare 2017
80	76	4	1052.63157894737	[223]Aradului Vest , centrala , decomandat, boxa , mobilat si utilat
60	57	3	1052.63157894737	[198]Izolat.Mobilat.Boxa
100	95	3	1052.63157894737	[237]Marasti ! Apartament 3 camere , decomandat , confort 1 , 95 mp !
69.5	66	3	1053.0303030303	[174]Decomandat.Etaj 1.Mobilat.Centrala Proprie.
59	56	3	1053.57142857143	[207]Lipovei, 3 camere, etaj intermediar, garaj
68.5	65	3	1053.84615384615	[223]Girocului, etaj intermediar
78	74	3	1054.05405405405	[213]Bloc Nou. In ORAS - GIROCULUI. Decomandat
58	55	3	1054.54545454545	[208]LIPOVEI, APARTAMENT 3 CAMERE
47.5	45.04	2	1054.61811722913	[213]Apartament 2 camere Braytim in bloc nou 2015!
57	54	2	1055.55555555556	[228]Transformat in 3 camere. Izolat termic exterior. Centrala termica
56	53	2	1056.60377358491	[179]Centrala Proprie.Aproape de parc.
50	47.32	2	1056.63567202029	[179]Decomandat. Bucatarie inchisa. Boxa in pod
74	70	3	1057.14285714286	[208]Lipovei, bloc nou, lux
55	52	2	1057.69230769231	[188]Apartament cu doua camere in zona Torontalului.
90	85	3	1058.82352941176	[227]Bloc de caramida, Garaj, Boxa, Posibilitate montare centrala!
57.5	54.3	2	1058.93186003683	[198]Bloc nou, Loc de Parcare
53	50	3	1060	[178]Disponibil imediat. Zona linistita.
70	66	3	1060.60606060606	[169]Girocului-Lidia , etaj 3 , centrala termica , 2 bai
87	82	3	1060.9756097561	[192]De vanzare apartament 3 camere, zona Central - Piata Balcescu
32.9	31	0	1061.29032258065	[223]Lipovei, 1 camera, amenajat
69	65	3	1061.53846153846	[218]Lipovei,Amenajat frumos,Etaj intermediar
68	64	3	1062.5	[213]Apartament 3 camere in cladire noua, zona Lipovei, finisaje superioare
79.7	75	3	1062.66666666667	[218]Proiect Nou, 3 camere , 2 balcoane , Propietar.
58.5	55	2	1063.63636363636	[208]Circumvalatiunii- 2 cam- DC- 58500 EUR Neg!
50	47	2	1063.82978723404	[228]2 Camere cu centrala si clima Zona Girocului
83	78	3	1064.10256410256	[193]GARAJ - BOXA - CENTRALA
76.5	71.83	2	1065.0146178477	[179]3 camere , Propietar. Proiect Nou-Iris 7, Finalizare Octombrie 2017
81	76	3	1065.78947368421	[228]Lipovei- 3 cam- Dec- Et 2- 81000 EUR Neg
80	75	3	1066.66666666667	[159]Apartament format din 3 camere de vanzare in zona Aradului.
32	30	0	1066.66666666667	[169]Garsonieră de vânzare
66.7	62.53	2	1066.68798976491	[193]De vanzare apartament 2 camere ideal pentru investitie
91.8	86.04	3	1066.94560669456	[228]3 camere in constructie noua, 0% comision
39.5	37	0	1067.56756756757	[197]Apartament cu 1 camera decomandat in bloc nou cal.Aradului
47	44	2	1068.18181818182	[188]Freidorf, decomandat, etaj intermediar
62	58	2	1068.96551724138	[223]Bucovina. Modelul mare. Decomandat.Centrala termica proprie.
75.899	71	3	1069	[159]Aradului,etaj intermediar,centrala,amenajat
69.5	65	3	1069.23076923077	[228]Centrala termica proprie. Etaj intermediar. 2 bai.
38.5	36	2	1069.44444444444	[193]Etaj 1. Zona linistita.
46	43	2	1069.76744186047	[193]Etaj 2. Aproape de Billa Sagului.
61	57	2	1070.17543859649	[193]Aradului,bloc nou,mobilat
58.9	55	3	1070.90909090909	[188]Garaj.Boxa. Posibilitate centrala
75	70	3	1071.42857142857	[208]Lipovei, decomandat, etaj intermediar, boxa+garaj
60	56	2	1071.42857142857	[237]Izolat, mobilat si utilat
150	140	4	1071.42857142857	[174]Vand casa noua,140mp cons /540mp teren,Zona Modern
79.9	74.5	3	1072.48322147651	[159]Apartament nou de vanzare Timisoara - Torontalului, 3 camere, bloc Iris
67.5	62.86	2	1073.81482659879	[193]O suprafata generoasa in constructie noua, zona Spitalul Judetean, 0%
58	54	2	1074.07407407407	[179]Apartament doua camere in cladire noua, zona Lipovei, finisaje
72	67	3	1074.62686567164	[202]Lipovei, decomandat, centrala proprie
69.9	65	2	1075.38461538462	[198]SPATIOS IN ZONA BUCOVINA
66.7	62	2	1075.8064516129	[198]De vanzare apartament cu 2 camere in constructie noua zona Soarelui
56	52	3	1076.92307692308	[159]Dambovita, centrala termica proprie, amenajat
70	65	3	1076.92307692308	[203]Vand apartament 3 camere - B-dul Cetatii, Timisoara
55	51	2	1078.43137254902	[208]Girocului-Plavat, etaj intermediar, recent amenajat
205	190	5	1078.94736842105	[188]APARTAMENT DE VIS CU 5 CAMERE 190 mp -utili
79.9	74	3	1079.72972972973	[164]Propietar, 3 cam. de vanzare in Timisoara, Bloc Nou , Finalizare
54	50	2	1080	[208]Recent renovat, izolat, CENTRALA proprie
79.897	73.8	3	1082.61517615176	[164]Apartament cu 3 camere de vanzare in zona Braytim
81.89	75.6	3	1083.20105820106	[179]Apartament cu 3 camere de vanzare in zona Braytim
65	60	3	1083.33333333333	[193]Etaj 2. Decomandat
78	72	3	1083.33333333333	[164]Centrala termica proprie. 3 balcoane. Mobilat si utilat complet.
45.5	42	2	1083.33333333333	[188]Etaj 1. CENTRALA PROPRIE.
64	59	2	1084.74576271186	[198]Apartament 2 cam dec zona Cluj
51	47	2	1085.10638297872	[174]Sagului, 2 camere
105	96.76	3	1085.15915667631	[223]De vanzare penthouse 3 camere, spatiu generos in constructie noua
140	129	4	1085.27131782946	[179]Spatiu si confort in zona Unirii.
43.5	40	2	1087.5	[228]Vila 2016, 2 locuri de parcare
62	57	2	1087.71929824561	[218]Pretabil spatiu comercial. Bloc izolat.
53.483	49.09	2	1089.48869423508	[203]Apartament cu 2 camere de vanzare in zona I. I. de la Brad
60	55	2	1090.90909090909	[223]Etajul 1. Centrala proprie. Decomandat.
75.3	69	3	1091.30434782609	[174]3 Camere Ultracentral 77000 Euro negociabil
53	48.54	2	1091.88298310672	[208]Centrala proprie.Vedere pe 2 parti
83	76	4	1092.10526315789	[172]De vanzare apartament cu 4 camere, mobilat si utilat, LUX - zona
71	65	3	1092.30769230769	[169]3 camere de vanzare in zona Aradului -Vest
47	43	2	1093.02325581395	[198]Gara de Nord, constructie 2008, amenajat
61	55.8	2	1093.18996415771	[174]Personalizeaza apartamentul, Iris 7-Aradului, Propietar
82	75	3	1093.33333333333	[228]Apartament trei camere, in vila cu trei apartamente, zona Braytim
70	64	3	1093.75	[174]Centrala proprie.Decomandat.Mobilat si utilat
61	55.74	2	1094.36670254754	[164]Dezvoltator, Proiect nou Iris 7, Zona Aradului,
79.9	73	3	1094.52054794521	[174]Bloc Nou, Finalizare Noiembrie 2016, Dezvoltator, 2 balcoane
59.5	54.35	2	1094.75620975161	[208]Propietar, Proiect Nou, Finalizare in Octombrie-Noiembrie 2017.
28.5	26	0	1096.15384615385	[174]Bucovina , parter
57	52	2	1096.15384615385	[228]Vedere pe 2 parti. 2 balcoane.Centrala proprie.
59	53.8	2	1096.65427509294	[174]Bloc Nou, Iris 7, Dezvoltator, Finalizare Octombrie 2017
68	62	3	1096.77419354839	[179]Aradului,etaj 3,semidecomandat,bloc izolat termic cu acoperis de tigla
97.74	89.05	3	1097.58562605278	[169]Apartament cu 3 camere de vanzare in zona I. I. de la Brad
54.9	50	3	1098	[159]Mobilat si utilat.Pregatit pentru centrala.Izolat interior
56	51	2	1098.03921568627	[218]TORONTAL , MOBILAT SI UTILAT COMPLET
58.5	53.2	2	1099.62406015038	[228]Dezvoltator, Proiect Nou , Finalizare Octombrie-Noiembrie 2017
51.7	47	2	1100	[223]Constructie noua , Torontal , lift+loc de parcare
55	50	2	1100	[208]Calea Aradului ,blocul nou
66	60	3	1100	[203]Bloc de caramida.Centrala proprie.Loc de parcare
110	100	3	1100	[223]PF. vand apartament deosebit, central langa liceul G Moisil
59.4	54	2	1100	[218]Braytim - predare la cheie
44	40	2	1100	[169]Pozitie foarte buna -Dacia , etaj 2
72.6	66	3	1100	[169]3 camere bloc NOU !!!
22	20	0	1100	[159]Garsoniera de vanzare in zona Blascovici .
73.5	66.81	3	1100.1347103727	[169]Constructie 2016, Compartimentari excelente
59.5	54	2	1101.85185185185	[179]Complet mobilat. Centrala proprie. Izolat
43	39	2	1102.5641025641	[188]Etaj 1, baie cu geam!
58.5	53	2	1103.77358490566	[203]Proiect Nou , Iris 7 zona Aradului, Propietar
52.999	48	2	1104.14583333333	[174]Decomandat , etaj 2 , Aradului-Piata Verde
86.692	78.4	3	1105.76530612245	[213]Apartament cu 3 camere de vanzare in zona Braytim
86.732	78.4	3	1106.27551020408	[198]Reinventeaza viata la bloc!
68.323	61.68	2	1107.70103761349	[163]Apartament cu 2 camere de vanzare in zona I. I. de la Brad
62.927	56.8	2	1107.86971830986	[223]Apartament cu 2 camere de vanzare in zona Braytim
68.061	61.43	2	1107.9440013023	[198]Apartament cu 2 camere de vanzare in zona I. I. de la Brad
62.974	56.8	2	1108.69718309859	[159]Apartament cu 2 camere de vanzare in zona Braytim
61	55	2	1109.09090909091	[218]Centrala Proprie. Zona Linistita.
71	64	3	1109.375	[203]Mobilat si utilat.Centrala proprie.Etaj intermediar.
35.5	32	0	1109.375	[159]Calea Buziasului, decomandat, SU-32mp
66.066	59.52	2	1109.97983870968	[179]Apartament cu 2 camere de vanzare in zona I. I. de la Brad
75.5	68	4	1110.29411764706	[198]Aradului Vest,parter,decomandat,garaj in baterie
39.99	36	0	1110.83333333333	[228]Apartament o camera, Ultracentral, pretabil pentru locuit, investitie
60	54	2	1111.11111111111	[237]De vanzare apartament 2 (doua) camere, zona Lipovei
50	45	2	1111.11111111111	[213]2 camere,parter,zona Tipografilor,amenajat modern.
80	72	3	1111.11111111111	[159]Apartament mobilat si utilat la etaj intermediar cu garaj.
64.5	58	4	1112.06896551724	[188]4 camere,etaj intermediar,zona Dacia
79	71	3	1112.67605633803	[203]Calitate. Bloc nou. Compartimentare excelenta.
62.829	56.4	2	1113.98936170213	[206]Apartament cu 2 camere de vanzare in zona Braytim
58	52	2	1115.38461538462	[174]2 camere,amenajat modern,zona Lipovei,foarte aproape de mijloacele de
67	60	4	1116.66666666667	[198]Dacia,etaj intermediar,centrala termica
57	51	2	1117.64705882353	[218]Zona linistita.Pregatit pentru centrala.
74.9	67	3	1117.91044776119	[164]3 camere ,zona Bucovina,etaj intermediar
42.5	38	2	1118.42105263158	[193]Zona linistita. Suprafata generoasa
85	76	4	1118.42105263158	[237]2 bai, 2 balcoane, vedere 2 parti
64.9	58	3	1118.96551724138	[169]3 CAM, BLOC NOU, CENTRAL, CALEA TORONATALULUI NR 32
75	67	3	1119.40298507463	[237]Vedere 2 parti.Etaj intermediar.
28	25	2	1120	[203]Girocului-Plavat, decomandat
56	50	2	1120	[213]Amenajat.Posibilitate Centrala.
65	58	2	1120.68965517241	[174]Mircea cel Batran, amenajat,58 mp utili !!!
37	33	0	1121.21212121212	[213]Girocului, decomandat
55	49	2	1122.44897959184	[179]Renovat.Posibilitate centrala.
110	98	3	1122.44897959184	[174]Blajcovici, singur pe etaj, spatios, amenajat
64	57	2	1122.80701754386	[223]Etaj intermediar. Garaj.
73	65	3	1123.07692307692	[228]Centrala termica proprie. Bloc izolat. 3 balcoane
82.974	73.8	3	1124.30894308943	[196]Apartament cu 3 camere de vanzare in zona Braytim
90	80	3	1125	[203]DOROBANŢILOR, 3 CAMERE
67.5	60	3	1125	[174]Centrala proprie. Aproape de Piata Dacia
45	40	2	1125	[169]Dambovita, etaj intermediar, centrala proprie, izolat termic
39.5	35	0	1128.57142857143	[218]Fabric, centrala proprie, amenajat modern
79	70	3	1128.57142857143	[179]Lipovei, 3 camere, garaj+boxa
35	31	0	1129.03225806452	[169]Proprietar: Vand apartament 1 cam, zona Dorobanti
56.5	50	2	1130	[169]Etaj 1 , amenajat-decomandat , mobilat si utilat
45.2	40	2	1130	[203]Zona Dacia ,MOBILAT SI UTILAT
75.9	67	3	1132.83582089552	[218]Zona Mall,complet mobilat si utilat, modern
51	45	2	1133.33333333333	[159]Mircea cel Batran,bloc nou,comision 0
59	52	2	1134.61538461538	[179]Spatios, zona centrala
42	37	0	1135.13513513514	[191]Apartament decomandat Lidia- Prospero
79.5	70	3	1135.71428571429	[218]APARTAMENT LUX ARADULUI COMISION 0%
49	43	2	1139.53488372093	[159]Negociabil, complet mobilat si utilat. Centrala PROPRIE. La 3 minute de
57	50	2	1140	[218]Kiriac, amenajat, centrala termica
65	57	3	1140.35087719298	[218]Etajul 2. Centrala proprie. Decomandat.
73	64	3	1140.625	[237]Etaj Intermediar.Complet Mobilat si Utilat.Centrala Proprie
68.5	60	2	1141.66666666667	[188]De vanzare apartament in zona Prefectura
72	63	3	1142.85714285714	[169]Mircea cel Batran,bloc nou,comision 0
80	70	3	1142.85714285714	[179]Bucovina,parter,amenajat,2 bai
32	28	0	1142.85714285714	[218]Lipovei, 1 camera, amenajat
79	69	3	1144.92753623188	[159]Calitate. Bloc nou. Compartimentare excelenta.
63	55	2	1145.45454545455	[174]APARTAMENT MODERN LIPOVEI
189	165	3	1145.45454545455	[174]Apartament de vanzare 3 camere, zona Neptun
55	48	2	1145.83333333333	[159]Complet mobilat si utilat.
62	54	2	1148.14814814815	[164]2 camere,zona Aradului(centrul bancar),pretabil pentru spatiu comercial.
76	66.17	3	1148.55674777089	[179]Decomandat, 2 Bai, Langa Kaufland
169	147	4	1149.65986394558	[164]Rafinament si spatiu in zona Centrala
69	60	2	1150	[169]De vanzare apartament deosebit cu 2 camere in zona Lipovei
46	40	2	1150	[223]Dambovita, etaj intermediar, centrala termica proprie
57.5	50	2	1150	[237]Mobilat si Utilat.Balcon de 8 mp.Centrala proprie
41.5	36	0	1152.77777777778	[213]Complexul Studentesc, etaj intermediar, decomandat
56.5	49	2	1153.0612244898	[188]De vanzare apartament cu 2 camere situat in zona Aradului
41.054	35.6	0	1153.20224719101	[193]Apartament cu 1 camere de vanzare in zona Braytim
75	65	3	1153.84615384615	[193]Etaj 3. Centrala proprie. Aproape de Iulius Mall.
60	52	2	1153.84615384615	[169]2 camere,etajul 1 ,zona Lipovei
85.47	74	3	1155	[193]Braytim - predare la cheie
52	45	3	1155.55555555556	[174]Centrala proprie. Dambovita.
126	109	3	1155.96330275229	[222]Semi-Central,3 camere,amenajat modern,109 mp utili
81	70	3	1157.14285714286	[174]Aradului,etaj inetrmediar, mobilat/utilat,garaj
51	44	2	1159.09090909091	[193]2 camere ,terasa extinsa 15mp bloc nou,zona Mircea Cel Batran
58	50	2	1160	[213]Lipovei, 2 camere, decomandat, amenajat
65	56	2	1160.71428571429	[164]Dumitru Kiriak, decomandat, amenajat
72	62	3	1161.29032258065	[203]Ap 3cam,centrala proprie,COMPLEX
65.986	56.8	2	1161.72535211268	[183]Apartament cu 2 camere de vanzare in zona Braytim
79	68	3	1161.76470588235	[198]Noul proiect INTEGRA Lidia-Mures VI
37.3	32	0	1165.625	[237]Zona UMT,amenajat,mobilat si utilat
63	54	2	1166.66666666667	[208]EXCLUSIVITATE-Apartament cu 2 camere situat semicentral,recent renovat
54.9	47	2	1168.08510638298	[169]Brancoveanu, 2 camere, amenajat
90	77	3	1168.83116883117	[193]Aradului, bloc nou, 2 bai
76	65	3	1169.23076923077	[218]Calea Sagului, spatiu, calitate si confort
82	70	3	1171.42857142857	[188]Terasa de 25 Mp, Loc de Parcare
61	52	2	1173.07692307692	[237]Centrala proprie. Renovat.
78.5	66.81	3	1174.97380631642	[198]Constructie 2016, Compartimentari excelente
47	40	2	1175	[208]Posibilitate montare centrala.Pretabil si pentru cabinet
60	51	2	1176.47058823529	[164]Garaj sub bloc.Etaj 1.Centrala proprie.
66	56	2	1178.57142857143	[237]BUCOVINA. MODEL MARE. AMENAJAT SI MOBILAT
59	50	2	1180	[164]Apartament nou cu gradina si terasa proprie
64.9	55	2	1180	[208]Apartament mobilat de vanzare in Calea Torontalului - 64.900 Euro
84	71	3	1183.0985915493	[218]Ultracentral, spatios si bine luminat, cu vedere spre Catedrala
58	49	2	1183.67346938776	[213]Dambovita, etaj intermediar, decomandat
41.5	35	2	1185.71428571429	[213]Vand apartament cu doua camere
47.5	40	2	1187.5	[228]Etajul 2. Complet mobilat.
67	56	3	1196.42857142857	[198]Etajul 1. Centrala proprie. Decomandat.
124.7	104	3	1199.03846153846	[169]0% COMISION!!! EXCLUSIV!!! BLOC NOU! Langa mijloc de transport!
54	45	2	1200	[188]Lipovei, 2 camere, decomandat, etaj intermediar
60	50	2	1200	[198]Lunei, decomandat, centrala proprie, modernizat
156	130	3	1200	[164]Mobilat si Utilat.Finisaje de Exceptie.Centrala proprie
65	54	2	1203.7037037037	[218]Plavat ll-Girocului, 2bai , parter
41	34	0	1205.88235294118	[198]Girocului, decomandat, etajintermediar
75	62	2	1209.67741935484	[213]Apartament superb cu 2 camere - str. Lorena
37.5	31	0	1209.67741935484	[164]Dambovita, decomandat, centrala termica proprie
97	80	3	1212.5	[203]De vanzare apartament cu 3 camere - Zona Ultracentrala
51	42	2	1214.28571428571	[164]2 camere ,zona Aradului,amenajat
85	70	3	1214.28571428571	[179]Complet mobilat si utilat.Centrala Proprie.Et intermediar
79	65	3	1215.38461538462	[159]3 camere,etaj intermediar,amenajat modern,garaj,zona Lipovei
43.9	36	0	1219.44444444444	[198]Elisabetin, amenajat, etaj intermediar
55	45	2	1222.22222222222	[203]ETAJ INTERMEDIAR. SPITALUL JUDETEAN.
98	80	3	1225	[164]Apartament cu 3 camere, ultracentral, amenajat, mobilat
75.95	62	2	1225	[223]Apartament cu 2 camere de vanzare in zona Central
68	55	2	1236.36363636364	[159]2 camere+1. Decomandat. Mobilat si utilat.
62	50	2	1240	[221]2 CAMERE, AMENAJAT MODERN, LIPOVEI
203.76	163.63	4	1245.24842632769	[218]Penthouse de lux - zona Soarelui - EXCLUSIVITATE
65	52	3	1250	[237]3 camere,zona Dacia ,pozitie excelenta
75	60	3	1250	[228]Vedere pe 2 parti.Centrala proprie. Amenajat
150	120	3	1250	[193]De vanzare apartament cu 3 camere, spatios, mobilat si utilat, zona
40	32	0	1250	[193]CENTRALA - MOBILAT - DOROBANTI
35	28	0	1250	[188]Girocului-Plavat, amenajat
26.5	21	0	1261.90476190476	[203]Aradului est, o camera, m ansarda, mobilata/utilata cu gust, ideala
120	95	3	1263.15789473684	[232]Apartament modern, spatios, complet mobila si utilat!
80	63	3	1269.84126984127	[213]De vanzare apartament 3 camere, zona Balcescu
159	125	4	1272	[174]Penthouse cu priveliste deosebita in constructie moderna!
64.9	51	2	1272.54901960784	[228]De vanzare apartament 2 (doua) camere, zona Balcescu - Elisabetin
280	220	4	1272.72727272727	[192]Vanzare penthouse pe doua nivele.LUX,confort si dotari premium
28	22	0	1272.72727272727	[228]Garsoniera de vanzare in zona Lipovei,etajul 2 ,pozitie excelenta
51	40	2	1275	[169]Merita vazut, Centrala proprie
58	45	2	1288.88888888889	[193]Elegant si modern
110	85	4	1294.11764705882	[208]Zona linistita.Bloc de caramida.2 pe nivel
73.9	57	3	1296.49122807018	[188]Zona Buna. Renovat.
130	100	3	1300	[223]Vila cu 2 locatari. 3 camere + anexa.
98	75	3	1306.66666666667	[208]Apartament de vânzare 3 camere
55	42	2	1309.52380952381	[198]Zona linistita, pretabil firma
118	90	3	1311.11111111111	[174]Proprietar.3 camere.Garaj.Bloc nou.Zona de case.str.Mures(Braytim)
99	75	3	1320	[228]Zona Pirvan,ap 3 camere, decomandat,75 mp,etaj 2/8,2 bai,2 balc,99.000
199	150	4	1326.66666666667	[208]Apartament de vânzare 4 camere
240	180	4	1333.33333333333	[169]APARTAMENT CU 4 CAMERE COMPUS DIN 2 APARTAMENTE
72.5	54	2	1342.59259259259	[193]Apartament complet mobilat si utilat!!
73.9	55	3	1343.63636363636	[202]Take Ionescu,renovat 2016,bucatarie mobilata si utilata
35	26	0	1346.15384615385	[228]Lunei, parter inalt, amenajat
75.5	56	3	1348.21428571429	[213]Sagului, 3 camere
73	54	2	1351.85185185185	[159]Calea Aradului, constructie 2012, loc parcare
95	70	2	1357.14285714286	[203]Pozitie excelenta, Spatios, Luminos
34	25	0	1360	[208]Calea Aradului
115	84	3	1369.04761904762	[198]Vând apartament 3 camere in bloc asociatie
81.258	59	3	1377.25423728814	[169]Apartament de vânzare 3 camere
58	42	2	1380.95238095238	[164]Mehala,construcitie 2012,etaj 1
54	39	2	1384.61538461538	[237]De vanzare apartament 2 (doua) camere - zona Complexul Studentesc
75	54	2	1388.88888888889	[159]Torontalului, Apartament 2 camere, Zona Rezidentiala, Centrala, Clima
122	87	3	1402.29885057471	[169]Apartament cu 3 camere de vanzare in zona ULTRACENTRALA - Timisoara
17	12	2	1416.66666666667	[198]Dacia, o camera, mobilata. ideala pt investitii
130	91	3	1428.57142857143	[169]Apartament 3 camere semidecomandate (91mp) + garaj (28mp) Ultracentral
35.9	25	0	1436	[237]Balceascu, ideal ca investitie
145	100	4	1450	[159]Vand apartament în vilă, Timisoara
170	117	4	1452.99145299145	[203]4 camere Medicina etaj 1 LUX
160	110	4	1454.54545454545	[164]La 2 pasi de Catedrala. Centrala proprie
139.9	96	3	1457.29166666667	[193]Semicentral,centrala,amenajari de lux
70	48	2	1458.33333333333	[188]Medicina.Etaj 2. Bloc de caramida.
45.588	31.2	2	1461.15384615385	[228]Apartament de vânzare 2 camere
95	65	3	1461.53846153846	[240]Decomandat. Recent renovat.
75	51	2	1470.58823529412	[203]2 camere semidecomandate Ultracentral in Timisoara
100	68	2	1470.58823529412	[208]2 camere zona Piata Unirii
28	19	0	1473.68421052632	[208]Steaua, centrala termica proprie, mobilata si utilata
37	25	0	1480	[203]Vanzare garsoniera zona Balcescu
198	132	4	1500	[164]Imobil nou central
